2019-10-01, 12:02:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:05:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:08:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:11:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:14:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:17:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:20:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:23:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:26:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:29:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:32:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:35:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:38:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:41:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:44:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:47:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:50:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:53:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:56:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 12:59:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 01:02:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 01:05:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-01, 01:08:56am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
