2019-10-09, 12:02:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:05:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:14:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:23:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:29:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:32:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:41:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:50:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:53:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 12:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:05:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:14:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:17:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:26:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:38:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:50:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:53:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 01:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:02:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:14:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:35:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:47:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:53:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 02:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:14:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:20:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:41:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:53:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 03:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:14:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:26:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:53:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 04:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:00:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:02:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:14:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:35:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:53:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 05:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:11:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:14:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:32:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:38:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-09, 06:53:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
