2019-10-03, 12:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:08:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:26:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:32:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:35:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:41:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:44:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:47:55am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:53:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 12:59:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:08:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:32:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:35:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:41:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:44:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:47:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:53:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 01:59:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:08:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:32:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:35:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:41:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:44:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:47:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:53:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 02:59:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:08:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-03, 03:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
