2019-10-10, 12:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:38:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:44:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 12:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:11:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:32:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:38:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:41:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:47:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:50:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:53:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:56:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 01:59:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:14:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:17:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:20:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:29:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:32:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:35:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:38:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:41:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:44:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:47:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:56:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 02:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:02:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:05:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:08:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:11:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:20:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:23:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-10, 03:26:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
