2019-09-28, 12:02:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:08:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:11:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:14:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:17:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:20:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:23:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:26:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:29:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:32:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:35:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:38:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:41:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:47:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:50:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:53:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:56:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 12:59:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:02:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:05:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:08:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:11:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:14:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:17:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:20:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:23:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:26:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:29:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:32:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:35:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:38:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:41:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:47:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:50:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:53:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:56:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 01:59:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:02:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:08:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:11:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:14:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:17:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:20:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:23:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:26:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:29:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:32:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:35:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:38:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:41:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:47:32am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:50:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-28, 02:53:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
