2019-10-11, 12:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:11:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:20:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:26:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:32:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:35:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:38:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:41:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:44:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:47:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:50:50am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:56:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 12:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:11:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:20:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:26:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:32:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:35:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:38:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:41:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:44:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:47:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:50:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:56:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 01:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:11:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:20:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:26:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:32:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:35:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:38:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:41:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:44:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:47:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:50:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:56:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 02:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:08:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:11:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:14:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:17:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:20:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:23:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:26:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:29:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:32:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:35:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:38:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:41:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:44:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:47:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:50:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:53:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:56:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 03:59:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 04:02:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-11, 04:05:49am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
