2019-09-27, 12:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:08:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:11:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:14:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:17:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:23:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:26:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:29:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:32:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:35:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:38:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:41:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:47:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:50:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:56:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 12:59:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:02:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:08:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:11:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:14:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:17:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:20:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:23:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:26:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:29:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:32:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:35:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:38:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:41:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:47:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:50:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:53:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:56:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 01:59:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 02:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-27, 02:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
