2019-10-04, 12:02:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:08:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:11:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:20:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:23:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:32:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:35:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:41:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:44:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:47:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:53:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 12:59:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:02:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:05:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:08:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:14:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:17:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:23:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:26:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:32:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:35:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:38:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:41:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:44:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:47:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:50:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:53:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:56:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 01:59:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:02:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:08:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:11:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:14:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:20:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:23:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:32:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:35:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:41:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:44:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:47:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:53:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:56:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 02:59:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:05:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:08:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:11:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:17:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:20:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:26:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:29:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:32:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:35:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:38:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:41:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:44:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:47:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:50:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:53:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 03:59:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:02:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:05:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:08:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:11:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:14:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:17:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:20:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:23:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:26:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:29:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:32:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:35:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:38:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:41:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:44:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:47:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:50:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:53:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:56:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 04:59:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:05:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:08:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:11:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:14:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:17:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:20:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:23:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:26:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:29:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:32:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:35:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:38:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:41:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:44:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:47:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:50:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:53:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:56:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 05:59:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 06:02:54am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-04, 06:05:53am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
