2019-10-14, 12:02:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:05:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:14:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:20:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:26:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:38:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:41:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:44:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:47:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:56:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 12:59:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:02:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:05:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:14:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:20:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:26:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:38:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:41:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:44:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:47:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:56:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 01:59:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:02:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:05:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:11:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:14:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:20:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:26:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:38:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:41:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:44:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:47:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:56:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 02:59:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:02:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:05:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:14:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:20:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:26:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:38:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-14, 03:41:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
