2019-10-13, 12:02:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:05:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:08:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:11:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:14:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:17:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:20:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:23:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:26:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:29:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:32:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:35:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:38:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:41:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:44:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:47:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:50:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:53:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:56:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 12:59:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:02:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:05:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:14:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:17:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:20:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:23:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:26:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:38:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:41:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:44:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:47:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-13, 01:50:48am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
