2019-10-07, 12:02:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:05:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:08:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:11:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:14:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:17:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:20:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:23:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:26:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:29:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:32:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:35:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:38:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:41:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:44:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:47:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:50:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:53:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:56:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 12:59:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:02:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:05:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:08:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:11:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:14:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:17:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:20:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:23:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:26:52am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:29:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-10-07, 01:32:51am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
