2019-09-24, 12:02:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:05:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:11:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:14:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:17:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:20:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:23:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:26:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:29:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:35:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:38:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:41:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:47:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:50:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:53:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 12:59:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:02:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:05:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:11:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:14:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:17:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:20:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:23:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:26:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:29:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:35:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:38:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:41:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:44:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:47:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:50:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:53:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 01:59:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:02:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:05:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:11:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:14:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:17:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:20:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:23:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:26:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:29:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:35:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:38:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:41:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:47:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:50:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:53:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 02:59:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:02:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:05:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:11:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:14:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:17:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:20:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:23:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:26:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:29:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:35:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:38:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:41:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:47:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:50:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:53:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 03:59:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 04:02:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 04:05:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 04:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-24, 04:11:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
