2019-09-23, 12:02:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:05:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:08:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:11:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:14:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:17:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:20:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:23:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:26:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:29:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:32:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:35:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:38:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:41:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:47:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:50:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:53:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:56:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 12:59:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:02:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:05:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:08:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:11:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:14:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:17:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:20:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:23:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:26:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:29:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:32:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:35:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:38:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:41:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:47:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:50:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:53:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 01:59:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:02:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:05:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:08:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:11:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:14:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:17:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:20:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:23:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:26:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:29:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:35:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:38:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:41:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:44:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:47:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:50:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:53:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:56:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 02:59:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:02:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:05:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:08:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:11:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:14:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:17:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:20:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:23:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:26:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:29:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:32:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:35:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:38:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:41:35am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:44:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:47:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-23, 03:50:36am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
