2019-09-26, 12:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:05:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:08:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:11:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:14:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:17:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:23:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:26:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:29:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:32:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:35:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:38:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:41:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:44:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:47:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:50:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:56:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 12:59:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:05:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:08:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:11:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:14:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:17:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:20:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:23:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:26:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:29:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:32:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:35:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:38:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:41:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:47:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:50:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:56:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 01:59:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:08:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:11:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:14:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:17:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:23:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:26:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:29:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:32:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:35:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:38:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:41:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:44:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:47:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:50:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:56:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 02:59:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:05:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:08:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:11:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:14:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:17:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:23:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:26:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:29:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:32:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:35:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:38:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:41:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:44:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:47:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:50:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:56:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 03:59:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:02:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:05:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:08:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:11:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:14:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:17:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:23:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:26:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:29:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:32:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:35:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:38:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:41:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:44:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:47:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:50:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:53:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:56:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 04:59:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:02:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:05:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:08:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:11:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:14:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:17:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:20:34am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-26, 05:23:33am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
