2019-09-20, 07:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:02:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:05:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:08:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:11:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:14:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:17:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:20:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:27:27am, cpu temperature = NULL, IoT status = , IoT ip-addr = 182.255.14.60
2019-09-20, 08:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:44:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:56:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:02:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:05:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:08:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:11:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:17:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:20:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:26:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:29:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:32:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:41:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:44:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:53:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:56:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:02:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:05:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:08:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:11:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:17:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:20:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:26:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:32:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:44:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:56:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 10:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:02:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:05:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:08:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:11:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:17:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:20:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:44:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:56:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 11:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:02:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:05:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:08:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:11:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:14:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:17:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:20:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:23:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:26:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:29:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:32:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:35:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:38:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:41:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:44:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:47:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:50:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:53:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:56:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 12:59:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:02:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:05:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:08:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:11:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:14:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:17:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:20:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:23:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:26:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:29:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:32:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:35:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:38:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:41:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:44:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:47:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:50:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:53:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:56:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 01:59:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 02:02:38pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 02:05:37pm, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
